Epoch: [82/100], transfer_loss: 0.1846, kl_loss: 504.1733, vib_loss: 3.4284, total_Loss: 3.5207, acc: 0.6013
Epoch: [83/100], transfer_loss: 0.1842, kl_loss: 486.1231, vib_loss: 3.3210, total_Loss: 3.4131, acc: 0.5960
Epoch: [84/100], transfer_loss: 0.1798, kl_loss: 491.7287, vib_loss: 3.3930, total_Loss: 3.4828, acc: 0.5932
Epoch: [85/100], transfer_loss: 0.1790, kl_loss: 476.5917, vib_loss: 3.2151, total_Loss: 3.3046, acc: 0.5957
Epoch: [86/100], transfer_loss: 0.1835, kl_loss: 487.6025, vib_loss: 3.2759, total_Loss: 3.3677, acc: 0.6021
Epoch: [87/100], transfer_loss: 0.1844, kl_loss: 473.8177, vib_loss: 3.5580, total_Loss: 3.6501, acc: 0.5974
Epoch: [88/100], transfer_loss: 0.1802, kl_loss: 482.3572, vib_loss: 3.4635, total_Loss: 3.5536, acc: 0.6006
Epoch: [89/100], transfer_loss: 0.1815, kl_loss: 477.1551, vib_loss: 3.3175, total_Loss: 3.4082, acc: 0.6028
Epoch: [90/100], transfer_loss: 0.1825, kl_loss: 471.4546, vib_loss: 3.4005, total_Loss: 3.4917, acc: 0.6017
Epoch: [91/100], transfer_loss: 0.1863, kl_loss: 465.7807, vib_loss: 3.3998, total_Loss: 3.4930, acc: 0.5967
Epoch: [92/100], transfer_loss: 0.1859, kl_loss: 475.0450, vib_loss: 3.4195, total_Loss: 3.5124, acc: 0.5907
Epoch: [93/100], transfer_loss: 0.1831, kl_loss: 436.4073, vib_loss: 3.4470, total_Loss: 3.5386, acc: 0.6010
Epoch: [94/100], transfer_loss: 0.1813, kl_loss: 453.8675, vib_loss: 3.2659, total_Loss: 3.3565, acc: 0.5957
Epoch: [95/100], transfer_loss: 0.1693, kl_loss: 463.6876, vib_loss: 3.3149, total_Loss: 3.3996, acc: 0.5939
Epoch: [96/100], transfer_loss: 0.1821, kl_loss: 455.0508, vib_loss: 3.4698, total_Loss: 3.5609, acc: 0.5999
Epoch: [97/100], transfer_loss: 0.1838, kl_loss: 464.2856, vib_loss: 3.3233, total_Loss: 3.4152, acc: 0.6003
Epoch: [98/100], transfer_loss: 0.1776, kl_loss: 453.4965, vib_loss: 3.3087, total_Loss: 3.3975, acc: 0.5974
Epoch: [99/100], transfer_loss: 0.1773, kl_loss: 460.3005, vib_loss: 3.2257, total_Loss: 3.3143, acc: 0.5989
